date,value
2020-01-01,1.7
2020-01-02,2.3
2020-01-03,2.9
2020-01-04,3.5
2020-01-05,4.1
2020-01-06,2.2
2020-01-07,2.8
2020-01-08,2.7
2020-01-09,3.3
2020-01-10,3.9
2020-01-11,2.0
2020-01-12,2.6
2020-01-13,3.2
2020-01-14,3.8
2020-01-15,3.7
2020-01-16,1.8
2020-01-17,2.4
2020-01-18,3.0
2020-01-19,3.6
2020-01-20,4.2
2020-01-21,2.3
2020-01-22,2.2
2020-01-23,2.8
2020-01-24,3.4
2020-01-25,4.0
2020-01-26,2.1
2020-01-27,2.7
2020-01-28,3.3
2020-01-29,3.2
2020-01-30,3.8
2020-01-31,1.9
2020-02-01,2.5
2020-02-02,3.1
2020-02-03,3.7
2020-02-04,4.3
2020-02-05,1.7
2020-02-06,2.3
2020-02-07,2.9
2020-02-08,3.5
2020-02-09,4.1
2020-02-10,2.2
2020-02-11,2.8
2020-02-12,2.7
2020-02-13,3.3
2020-02-14,3.9
2020-02-15,2.0
2020-02-16,2.6
2020-02-17,3.2
2020-02-18,3.8
2020-02-19,3.7
2020-02-20,1.8
2020-02-21,2.4
2020-02-22,3.0
2020-02-23,3.6
2020-02-24,4.2
2020-02-25,2.3
2020-02-26,2.2
2020-02-27,2.8
2020-02-28,3.4
2020-02-29,4.0
2020-03-01,2.1
2020-03-02,2.7
2020-03-03,3.3
2020-03-04,3.2
2020-03-05,3.8
2020-03-06,1.9
2020-03-07,2.5
2020-03-08,3.1
2020-03-09,3.7
2020-03-10,4.3
2020-03-11,1.7
2020-03-12,2.3
2020-03-13,2.9
2020-03-14,3.5
2020-03-15,4.1
2020-03-16,2.2
2020-03-17,2.8
2020-03-18,2.7
2020-03-19,3.3
2020-03-20,3.9
2020-03-21,2.0
2020-03-22,2.6
2020-03-23,3.2
2020-03-24,3.8
2020-03-25,3.7
2020-03-26,1.8
2020-03-27,2.4
2020-03-28,3.0
2020-03-29,3.6
2020-03-30,4.2
2020-03-31,2.3
2020-04-01,2.2
2020-04-02,2.8
